10;816;1197;56
816;10;1198;56
10;693;1197;78
693;10;1198;78
10;671;1197;4
671;10;1198;4
10;594;1197;4
594;10;1198;4
10;595;1197;6
595;10;1198;6
10;1169;1195;2
1169;10;1196;2
10;694;1197;3
694;10;1198;3
10;598;1197;6
598;10;1198;6
10;1192;1197;39
1192;10;1198;39
10;599;1197;10
599;10;1198;10
10;601;1197;6
601;10;1198;6
10;278;1195;1
278;10;1196;1
10;367;1195;4
367;10;1196;4
10;1195;1197;2
1195;10;1198;2
10;255;1195;3
255;10;1196;3
10;690;1197;1
690;10;1198;1
10;806;1197;1
806;10;1198;1
10;689;1197;1
689;10;1198;1
10;669;1195;1
669;10;1196;1
10;672;1195;2
672;10;1196;2
10;602;1197;1
602;10;1198;1
10;813;1197;1
813;10;1198;1
10;1169;1197;2
1169;10;1198;2
10;597;1197;1
597;10;1198;1
10;596;1197;1
596;10;1198;1
10;593;1197;1
593;10;1198;1
10;897;1149;1
897;10;1150;1
10;900;1149;1
900;10;1150;1
10;902;1149;1
902;10;1150;1
28;816;1197;12
816;28;1198;12
28;255;1195;2
255;28;1196;2
28;594;1197;5
594;28;1198;5
28;595;1197;6
595;28;1198;6
28;601;1197;1
601;28;1198;1
28;599;1197;10
599;28;1198;10
28;598;1197;4
598;28;1198;4
28;689;1197;1
689;28;1198;1
28;813;1197;2
813;28;1198;2
28;602;1197;1
602;28;1198;1
28;742;1195;1
742;28;1196;1
28;690;1197;1
690;28;1198;1
28;742;1197;1
742;28;1198;1
28;806;1197;2
806;28;1198;2
28;807;1197;1
807;28;1198;1
28;367;1195;1
367;28;1196;1
50;50;1149;2
50;50;1150;2
53;806;1197;3
806;53;1198;3
53;810;1197;1
810;53;1198;1
53;596;1197;8
596;53;1198;8
53;601;1197;9
601;53;1198;9
53;693;1197;5
693;53;1198;5
53;599;1197;8
599;53;1198;8
53;255;1195;1
255;53;1196;1
53;691;1197;4
691;53;1198;4
53;816;1197;20
816;53;1198;20
53;595;1197;5
595;53;1198;5
53;798;1197;2
798;53;1198;2
53;813;1197;7
813;53;1198;7
53;594;1197;9
594;53;1198;9
53;802;1197;1
802;53;1198;1
53;598;1197;6
598;53;1198;6
53;797;1197;4
797;53;1198;4
53;742;1197;1
742;53;1198;1
53;600;1197;4
600;53;1198;4
53;690;1197;1
690;53;1198;1
53;689;1197;1
689;53;1198;1
53;799;1197;1
799;53;1198;1
53;602;1197;1
602;53;1198;1
53;367;1195;3
367;53;1196;3
53;2146;1195;1
2146;53;1196;1
53;570;1195;1
570;53;1196;1
132;738;1197;1
738;132;1198;1
153;920;1197;1
920;153;1198;1
552;255;1195;2
255;552;1196;2
552;467;1195;1
467;552;1196;1
552;278;1195;1
278;552;1196;1
552;553;1195;3
553;552;1196;3
552;587;1197;2
587;552;1198;2
554;555;1195;1
555;554;1196;1
556;557;1195;1
557;556;1196;1
576;671;1195;1
671;576;1196;1
576;685;1195;1
685;576;1196;1
576;377;1195;1
377;576;1196;1
576;173;1195;1
173;576;1196;1
576;367;1195;1
367;576;1196;1
576;578;1195;2
578;576;1196;2
576;684;1195;1
684;576;1196;1
576;431;1197;1
431;576;1198;1
576;675;1195;1
675;576;1196;1
576;431;1195;1
431;576;1196;1
576;670;1195;1
670;576;1196;1
579;367;1195;1
367;579;1196;1
579;583;1195;1
583;579;1196;1
579;368;1195;1
368;579;1196;1
579;581;1195;2
581;579;1196;2
585;586;1195;3
586;585;1196;3
585;599;1197;2
599;585;1198;2
585;278;1195;3
278;585;1196;3
585;255;1197;1
255;585;1198;1
585;589;1195;4
589;585;1196;4
585;591;1197;2
591;585;1198;2
585;278;1197;1
278;585;1198;1
585;590;1195;1
590;585;1196;1
585;314;1195;1
314;585;1196;1
585;601;1197;2
601;585;1198;2
585;587;1197;1
587;585;1198;1
585;588;1197;1
588;585;1198;1
585;367;1195;1
367;585;1196;1
585;591;1195;2
591;585;1196;2
585;500;1195;1
500;585;1196;1
585;592;1195;1
592;585;1196;1
585;500;1197;1
500;585;1198;1
585;255;1195;1
255;585;1196;1
663;173;1195;1
173;663;1196;1
663;278;1195;2
278;663;1196;2
663;368;1195;1
368;663;1196;1
700;753;1197;10
753;700;1198;10
700;278;1197;4
278;700;1198;4
700;278;1195;11
278;700;1196;11
700;229;1197;1
229;700;1198;1
700;196;1195;1
196;700;1196;1
700;255;1195;6
255;700;1196;6
700;588;1197;20
588;700;1198;20
700;752;1197;5
752;700;1198;5
700;755;1197;1
755;700;1198;1
700;784;1197;1
