663;7;101
5;7;24
10;7;803
552;7;82
554;7;209
556;7;12
576;7;304
579;7;510
585;7;537
700;7;729
702;7;250
715;7;451
897;7;127
900;7;847
902;7;224
907;7;52
927;7;52
999;7;230
1002;7;90
1020;7;69
1022;7;43
1023;7;23
1045;7;90
1047;7;43
1049;7;60
1055;7;63
1057;7;52
1106;7;60
1108;7;99
1115;7;84
1116;7;83
1119;7;37
1133;7;11
1144;7;40
1150;7;40
153;7;35
663;39;11
663;12;1534
663;40;22
663;18;2
663;13;33
663;17;2
663;11;6
663;14;26
663;44;1012337920
5;39;4
5;12;52
5;18;1
5;13;6
5;11;3
5;16;1
5;44;647974784
10;39;73
10;12;4125
10;40;155
10;18;9
10;13;127
10;11;68
10;15;1
10;14;81
10;16;8
10;44;3562861312
552;39;11
552;12;1529
552;40;24
552;18;2
552;13;27
552;11;9
552;14;19
552;16;2
552;44;2850784512
554;39;33
554;12;6050
554;40;2
554;18;1
554;13;159
554;11;146
554;14;15
554;16;1
554;44;1423044736
556;39;3
556;12;142
556;40;2
556;13;3
556;11;3
556;14;5
556;44;3446832896
576;39;44
576;12;1611
576;40;140
576;18;3
576;13;35
576;11;23
576;14;89
576;16;3
576;44;2022757248
579;39;81
579;12;2996
579;40;227
579;13;86
579;11;15
579;14;123
579;44;1521359360
585;39;42
585;12;6627
585;40;105
585;18;1
585;13;211
585;11;43
585;14;173
585;16;1
585;44;1343208960
700;39;83
700;12;9084
700;40;183
700;18;3
700;13;222
700;11;67
700;14;208
700;16;3
700;44;1380211072
702;39;23
702;12;392
702;40;92
702;18;2
702;13;14
702;11;10
702;14;36
702;16;2
702;44;713749120
715;39;31
715;12;6649
715;40;228
715;18;2
715;13;171
715;11;101
715;14;61
715;16;2
715;44;2022114432
897;39;14
897;12;2354
897;40;47
897;13;59
897;11;25
897;14;16
897;44;2670316032
900;39;119
900;12;7754
900;40;73
900;18;7
900;13;228
900;11;149
900;14;107
900;16;7
900;44;1033037376
902;39;37
902;12;1437
902;40;88
902;18;4
902;13;38
902;11;15
902;14;9
902;16;4
902;44;3487559168
907;39;15
907;12;185
907;40;4
907;18;1
907;13;5
907;11;5
907;14;12
907;16;1
907;44;672088640
927;39;7
927;12;280
927;40;6
927;13;11
927;11;2
927;14;16
927;44;349762656
999;39;36
999;12;1436
999;40;79
999;18;10
999;13;47
999;11;25
999;14;37
999;16;10
999;44;2259013376
1002;39;13
1002;12;311
1002;40;38
1002;18;1
1002;13;12
1002;11;6
1002;14;17
1002;16;1
1002;44;3830413824
1020;39;11
1020;12;83
1020;40;15
1020;18;3
1020;13;4
1020;11;4
1020;14;20
1020;16;3
1020;44;2089333504
1022;39;8
1022;12;225
1022;40;3
1022;18;2
1022;13;9
1022;11;3
1022;14;7
1022;16;2
1022;44;1729270016
1023;39;4
1023;12;202
1023;40;8
1023;13;8
1023;11;2
1023;14;4
1023;44;1884900352
1045;39;16
1045;12;708
1045;40;22
1045;18;4
1045;13;17
1045;11;6
1045;14;14
1045;16;4
1045;44;1727739648
1047;39;3
1047;12;1985
1047;40;2
1047;13;37
1047;11;2
1047;14;1
1047;44;4024611328
1049;39;7
1049;12;1703
1049;40;8
1049;18;1
1049;13;37
1049;11;7
1049;14;5
1049;16;1
1049;44;1287779456
1055;39;6
1055;12;1871
1055;40;4
1055;18;2
