object file;kwcxx.dependencies;kwcxx.initialize_ast;kwcxx.readFbkbTags;kwcxx.convert_mir;clef.processing_file;ALLOCKB;ABVKB;CheckLocAddrRet;HashNoSalt;HardcodedCredentials;FsetposValue;restore mir;clef.kbDInit;clef.kbDInit.establishConnection;clef.kbDInit.getKBsFromKwlef;clef.kbDInit.getKBsFromKwlef.2;clef.kbDInit.getKBsFromKwlef.3;recv_cached_data;ALLOCKB.ALLOC;clef.kbDump;clef.kbDumpSocket;clef.kbDump.concedges;AnalyzeModifiedGlobals;NPD.SRC;CheckIterator;TaintedAllocKB;TaintedAlloc;mir_function_init;TaintedAlloc.SINKKB;GENERAL_KB;RNPD;TaintedString.ABV_NNTS;clef.kbDump.defects;NPD;clef.kbDInit.processKBsFromKwlef;clef.kbDInit.getKBsFromKwlef.4;TaintedStringKB;mir_function_finalize;TaintedString.SINKKB;NPDKB;Concurrency;TaintedString.PROPKB;UMR;ALLOCKB.XMRF;KWLEF.MAIN;KBDB_OVERALL;KBDB_SYNC;KBDB_NAMETABLE;KBDB_ENTITYTABLE;KBDB_KBTABLE;KBDB_CONCEDGES;KWLEF.analysis loop;KBDB_SOCK_GET;KBDB_SOCK_GET_ENT;KBDB_SOCK_UPD;KBDB_SOCK_UPD_KB;KBDB_SOCK_UPD_KB_RECV;KBDB_SOCK_UPD_KB_DBREAD;KBDB_SOCK_UPD_KB_DBWRITE;KBDB_SOCK_UPD_DEFECTS;KWLEF.M2SOCK_INNER;KWLEF.M1SOCK_OUTER;KWLEF.finalizing cache;KWLEF.generated kb dump;KWLEF.modern-backfill kb dump;KBDB_CACHE_WRITE;REPCXX.prep_and_parser;preprocessing;parsing;REPCXX.sema_and_rdt;RDT;REPCXX.MIR_related;ast_to_mir converter;mir save;REPCXX.metrics;REPCXX.call_graph;REPCXX.checkers;RCA;mir checksum;REPCXX.lef_finalize;TaintedString;REPCXX.lef_init;MLK;REPCXX.XPath;RNC;INF_LOOP;FREE;FormatString;statNPD;RETURN;READKB;CLASSLEVEL;LINKER.ParsingOptions;LINKER.ReadingObjects;
null;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.157;0.030
buffer_overflow_001.cpp_0.o;0.259;0.054;0.028;0.001;0.329;0.000;0.001;0.000;0.000;0.001;0.000;0.000;0.012;0.004;0.000;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
buffer_overflow_002.cpp_1.o;0.021;0.026;0.033;0.000;0.293;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.013;0.006;0.000;0.000;0.000;0.000;0.000;0.001;0.001;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
buffer_overflow_003.cpp_2.o;0.040;0.025;0.037;0.002;0.379;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.014;0.005;0.000;0.000;0.000;0.000;0.000;0.003;0.003;0.003;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
buffer_overflow_004.cpp_3.o;0.142;0.085;0.019;0.008;0.295;0.000;0.004;0.000;0.000;0.000;0.000;0.000;0.017;0.016;0.000;0.000;0.000;0.000;0.000;0.011;0.010;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
buffer_overflow_005.cpp_4.o;0.022;0.021;0.021;0.000;0.287;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.011;0.004;0.000;0.000;0.000;0.000;0.000;0.008;0.007;0.007;0.000;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
division_by_zero_001.cpp_5.o;0.035;0.048;0.040;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.008;0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
division_by_zero_002.cpp_6.o;0.035;0.024;0.050;0.010;0.249;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.012;0.011;0.000;0.000;0.000;0.000;0.000;0.002;0.002;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.005;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
freeing_non_heap_memory_001.cpp_7.o;0.024;0.022;0.022;0.000;0.277;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.012;0.005;0.001;0.000;0.001;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
freeing_non_heap_memory_002.cpp_8.o;0.030;0.049;0.026;0.001;0.183;0.000;0.000;0.000;0.000;0.000;0.000;0.014;0.008;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
